,Model,Classifier,Accuracy,Precision,Recall,F1-Score,Specificity,False Positive Rate,Confusion Matrix
0,lr,cOPN,0.6498443752779013,0.6562689279224713,0.8312236286919831,0.7334574378067354,0.39978847170809095,0.600211528291909,"[[ 756 1135]
 [ 440 2167]]"
1,lr,cCON,0.6985326811916407,0.6281908990011099,0.35664776307498425,0.454983922829582,0.8849192717279285,0.11508072827207146,"[[2576  335]
 [1021  566]]"
2,lr,cEXT,0.6765228990662516,0.656578947368421,0.5168306576903159,0.5783830773688786,0.7966497857421114,0.20335021425788857,"[[2045  522]
 [ 933  998]]"
3,lr,cAGR,0.6500666963094709,0.6103687867450561,0.5747357825868143,0.592016588906169,0.7096774193548387,0.2903225806451613,"[[1782  729]
 [ 845 1142]]"
4,lr,cNEU,0.6313917296576256,0.6135796305541688,0.5816374822527213,0.5971817298347911,0.6754716981132075,0.32452830188679244,"[[1611  774]
 [ 884 1229]]"
5,rf,cOPN,0.6418408181413962,0.6398090960134756,0.8741848868431147,0.7388555681633976,0.32152300370174514,0.6784769962982549,"[[ 608 1283]
 [ 328 2279]]"
6,rf,cCON,0.678523788350378,0.6535947712418301,0.1890359168241966,0.2932551319648094,0.9453795946410168,0.054620405358983166,"[[2752  159]
 [1287  300]]"
7,rf,cEXT,0.6605157847932415,0.695357833655706,0.3723459347488348,0.48499156829679596,0.8772886638098948,0.12271133619010519,"[[2252  315]
 [1212  719]]"
8,rf,cAGR,0.636060471320587,0.6165113182423435,0.46602918973326624,0.5308111206649468,0.7706093189964157,0.22939068100358423,"[[1935  576]
 [1061  926]]"
9,rf,cNEU,0.6176078257003113,0.6118383608423449,0.5087553241836251,0.5555555555555555,0.7140461215932914,0.2859538784067086,"[[1703  682]
 [1038 1075]]"
10,xgb,cOPN,0.6525122276567363,0.6550802139037433,0.8457997698504027,0.7383224510296333,0.3860391327340032,0.6139608672659969,"[[ 730 1161]
 [ 402 2205]]"
11,xgb,cCON,0.7049799911071587,0.6566265060240963,0.34341524889729047,0.45097227968556064,0.9020954998282377,0.09790450017176228,"[[2626  285]
 [1042  545]]"
12,xgb,cEXT,0.6780791462872388,0.6741167988464312,0.4842050750906266,0.5635925256178421,0.8239189715621348,0.17608102843786522,"[[2115  452]
 [ 996  935]]"
13,xgb,cAGR,0.6502890173410405,0.6127450980392157,0.5661801711122295,0.5885430290347895,0.7168458781362007,0.2831541218637993,"[[1800  711]
 [ 862 1125]]"
14,xgb,cNEU,0.6365051133837261,0.6195,0.5863700899195456,0.6024799416484319,0.6809224318658281,0.31907756813417193,"[[1624  761]
 [ 874 1239]]"
15,mlp,cOPN,0.6658514895509116,0.6738035264483627,0.8208668968162639,0.7401002939650699,0.45214172395557906,0.5478582760444209,"[[ 855 1036]
 [ 467 2140]]"
16,mlp,cCON,0.7152067585593597,0.6795774647887324,0.3648393194706994,0.4747847478474784,0.9062177945723119,0.09378220542768807,"[[2638  273]
 [1008  579]]"
17,mlp,cEXT,0.6745220097821254,0.6728349370836417,0.4707405489383739,0.5539305301645338,0.8278145695364238,0.17218543046357615,"[[2125  442]
 [1022  909]]"
18,mlp,cAGR,0.6685193419297466,0.6761363636363636,0.4791142425767489,0.5608247422680412,0.8183990442054958,0.1816009557945042,"[[2055  456]
 [1035  952]]"
19,mlp,cNEU,0.655402401067141,0.6307477937761263,0.6426881211547563,0.6366619784341303,0.6666666666666666,0.3333333333333333,"[[1590  795]
 [ 755 1358]]"
20,bilstm,cOPN,0.67207647843486,0.6896782841823056,0.7894131185270425,0.7361831514934717,0.5103120042305659,0.48968799576943417,"[[ 965  926]
 [ 549 2058]]"
21,bilstm,cCON,0.7156514006224989,0.6161387631975868,0.5148078134845621,0.5609337452797802,0.8251459979388527,0.17485400206114737,"[[2402  509]
 [ 770  817]]"
22,bilstm,cEXT,0.6798577145397955,0.655085281111813,0.537027446918695,0.5902105862265224,0.7873003506038176,0.21269964939618233,"[[2021  546]
 [ 894 1037]]"
23,bilstm,cAGR,0.6776345042240997,0.6580341377280753,0.5626572722697534,0.6066196418882257,0.7686180804460374,0.23138191955396256,"[[1930  581]
 [ 869 1118]]"
24,bilstm,cNEU,0.664517563361494,0.6483300589390962,0.6247042120208235,0.6362979031091829,0.69979035639413,0.30020964360587005,"[[1669  716]
 [ 793 1320]]"
